Office	10003	3	10001	null	-1	1142672	-1	null	25607263	11396775	null	RC	0	0	1	79	null	0	26032554	Microsoft Office 2010	14.0.4757.1000	Microsoft Corporation	1
Office	10004	0	10001	null	-1	1142672	-1	null	25261081	11396775	SP1	RTM	0	0	1	89	null	0	25261082	Microsoft Office	14.0.6118.3014	Microsoft Corporation	1
Office	10005	3	10002	null	-1	1142672	-1	null	25607263	11396775	null	RC	0	0	0	79	null	0	26032554	Microsoft Office 2010	14.0.4757.1000	Microsoft Corporation	1
Office	10006	0	10002	null	-1	1142672	-1	null	42422419	23271060	null	Technical Preview Refresh	0	0	1	97	null	0	42637079	Microsoft Office	15.0.4016.3001	Microsoft Corporation	1
Office	10009	0	10003	-1	9194340	1142672	2793	Professional	9194331	11396775	null	RTM	0	0	1	81	19	0	9194340	Microsoft Office Professional 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10007	3	10003	null	-1	1142672	2751	Standard	9194331	11396775	null	RTM	0	0	1	81	12	0	13301889	Microsoft Office Standard 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10008	3	10003	null	-1	1142672	-1	null	25607263	11396775	null	RC	0	0	1	79	null	0	26032554	Microsoft Office 2010	14.0.4757.1000	Microsoft Corporation	1
Office	10012	0	10004	-1	25637289	1142672	2751	Standard	25261081	11396775	SP1	RTM	0	0	1	89	12	0	25637289	Microsoft Office Standard 2010	14.0.6029.1000	Microsoft Corporation	1
Office	10010	3	10004	null	-1	1142672	2751	Standard	9194331	11396775	null	RTM	0	0	1	81	12	0	13301889	Microsoft Office Standard 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10011	3	10004	null	-1	1142672	-1	null	25607263	11396775	null	RC	0	0	1	79	null	0	26032554	Microsoft Office 2010	14.0.4757.1000	Microsoft Corporation	1
Office	10014	0	20001	-1	9194340	1142672	2793	Professional	9194331	11396775	null	RTM	0	0	1	81	19	0	9194340	Microsoft Office Professional 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10013	3	20001	null	-1	1142672	2751	Standard	9194331	11396775	null	RTM	0	0	1	81	12	0	13301889	Microsoft Office Standard 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10015	3	20001	null	-1	1142672	-1	null	25261081	11396775	SP1	RTM	0	0	1	89	null	0	25261082	Microsoft Office	14.0.6118.3014	Microsoft Corporation	1
Office	10017	0	20002	-1	9194340	1142672	2793	Professional	9194331	11396775	null	RTM	0	0	1	81	19	0	9194340	Microsoft Office Professional 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10016	3	20002	null	-1	1142672	2751	Standard	9194331	11396775	null	RTM	0	0	1	81	12	0	13301889	Microsoft Office Standard 2010	14.0.4763.1000	Microsoft Corporation	1
Office	10018	3	20002	null	-1	1142672	-1	null	25261081	11396775	SP1	RTM	0	0	1	89	null	0	25261082	Microsoft Office	14.0.6118.3014	Microsoft Corporation	1
Office	10019	3	20002	null	-1	1142672	2751	Standard	68057627	11396775	SP2	RTM	0	0	1	91	12	0	68046761	Microsoft Office Standard 2010	14.0.7015.1000	Microsoft Corporation	1
Visual Studio	10021	0	30001	-1	6361499	900729	-1	null	6361450	6656845	null	null	1	1	1	39	null	0	6361499	Microsoft Visual Studio 2010	10.0.40219.1	Microsoft Corporation	1
