Task_ID,HostID_In_ Match_,Rows #,HostID_IN_P,Rows #,DIFFERENCE,Results
16745,8729202,1,8729202,1,0,Passed
16745,1026760,17,1026760,17,0,Passed
16745,8729459,1,8729459,1,0,Passed
16745,942671,5,942671,5,0,Passed
16745,25280031,15,25280031,15,0,Passed
16745,23604723,17,23604723,17,0,Passed
16745,26155676,1,26155676,1,0,Passed
16745,1108992,26,1108992,26,0,Passed
16745,8718563,3,8718563,3,0,Passed
16745,8683528,1,8683528,1,0,Passed
16745,298307610,2,298307610,2,0,Passed
16745,1209458,5,1209458,5,0,Passed
16745,64906342,1,64906342,1,0,Passed
16745,355000388,1,355000388,1,0,Passed
16745,7429502,1,7429502,1,0,Passed
16745,942660,140,942660,140,0,Passed
16745,106067536,1,106067536,1,0,Passed
16745,8729227,1,8729227,1,0,Passed
16745,942663,71,942663,71,0,Passed
16745,79669881,11,79669881,11,0,Passed
16745,942666,18,942666,18,0,Passed
16745,6638665,3,6638665,3,0,Passed
16745,6612046,17,6612046,17,0,Passed
16745,8682676,19,8682676,19,0,Passed
16745,28055902,1202,28055902,1202,0,Passed
16745,42911489,1,42911489,1,0,Passed
16745,1538869,1,1538869,1,0,Passed
16745,900739,27,900739,27,0,Passed
16745,38569477,4,38569477,4,0,Passed
16745,26290055,1,26290055,1,0,Passed
16745,900737,162,900737,162,0,Passed
16745,46408483,3,46408483,3,0,Passed
16745,1126119,1,1126119,1,0,Passed
16745,6661212,1,6661212,1,0,Passed
16745,900733,1501,900733,1501,0,Passed
16745,919672,2,919672,2,0,Passed
16745,46442362,2,46442362,2,0,Passed
16745,6437178,11,6437178,11,0,Passed
16745,1090482,3,1090482,3,0,Passed
16745,927056,2,927056,2,0,Passed
16745,16498803,3,16498803,3,0,Passed
16745,7334474,48,7334474,48,0,Passed
16745,14938598,1,14938598,1,0,Passed
16745,50969611,1,50969611,1,0,Passed
16745,7333384,17,7333384,17,0,Passed
16745,7355134,6,7355134,6,0,Passed
16745,900729,22,900729,22,0,Passed
16745,7350703,1,7350703,1,0,Passed
16745,900727,75,900727,75,0,Passed
16745,1386923,1,1386923,1,0,Passed
16745,900725,2,900725,2,0,Passed
16745,945951,1,945951,1,0,Passed
16745,24853392,1,24853392,1,0,Passed
16745,28948891,2,28948891,2,0,Passed
16745,27069054,1,27069054,1,0,Passed
16745,1466402,36,1466402,36,0,Passed
16745,25957159,7,25957159,7,0,Passed
16745,6638683,16,6638683,16,0,Passed
16745,16627852,2,16627852,2,0,Passed
16745,46442349,5,46442349,5,0,Passed
16745,1142602,357,1142602,357,0,Passed
16745,1142600,48,1142600,48,0,Passed
16745,7336409,2,7336409,2,0,Passed
16745,473125,2,473125,2,0,Passed
16745,921531,3,921531,3,0,Passed
16745,6393178,8,6393178,8,0,Passed
16745,1142591,2,1142591,2,0,Passed
16745,1282778,1,1282778,1,0,Passed
16745,36847785,1,36847785,1,0,Passed
16745,13307292,3,13307292,3,0,Passed
16745,1279129,3,1279129,3,0,Passed
16745,1280358,27,1280358,27,0,Passed
16745,25008795,1,25008795,1,0,Passed
16745,23320785,2,23320785,2,0,Passed
16745,23320302,6,23320302,6,0,Passed
16745,1142114,1,1142114,1,0,Passed
16745,42639147,1,42639147,1,0,Passed
16745,6633160,2,6633160,2,0,Passed
16745,1203958,10,1203958,10,0,Passed
16745,1269311,3,1269311,3,0,Passed
16745,80689109,1,80689109,1,0,Passed
16745,109052974,1,109052974,1,0,Passed
16745,919690,1001,919690,1001,0,Passed
16745,298308210,1,298308210,1,0,Passed
16745,314214437,1,314214437,1,0,Passed
16745,80755061,2,80755061,2,0,Passed
16745,54610194,2,54610194,2,0,Passed
16745,1282544,39,1282544,39,0,Passed
16745,1142580,4,1142580,4,0,Passed
16745,10420171,3,10420171,3,0,Passed
16745,7370709,14,7370709,14,0,Passed
16745,6437180,24,6437180,24,0,Passed
16745,1143439,5,1143439,5,0,Passed
16745,1143438,3,1143438,3,0,Passed
16745,10423677,1,10423677,1,0,Passed
16745,6437182,9,6437182,9,0,Passed
16745,1324003,4,1324003,4,0,Passed
16745,46442685,25,46442685,25,0,Passed
16745,53866801,4,53866801,4,0,Passed
16745,1292110,28,1292110,28,0,Passed
16745,314214443,1,314214443,1,0,Passed
16745,935719,56,935719,56,0,Passed
16745,25261211,2,25261211,2,0,Passed
16745,23320325,1,23320325,1,0,Passed
16745,8727891,707,8727891,707,0,Passed
16745,16498791,1,16498791,1,0,Passed
16745,921567,39,921567,39,0,Passed
16745,966435,27,966435,27,0,Passed
16745,7487080,20,7487080,20,0,Passed
16745,1203963,1,1203963,1,0,Passed
16745,1143451,7,1143451,7,0,Passed
16745,1143450,3,1143450,3,0,Passed
16745,298318273,1,298318273,1,0,Passed
16745,236534115,3,236534115,3,0,Passed
16745,7493760,34,7493760,34,0,Passed
16745,900918,8,900918,8,0,Passed
16745,900913,2,900913,2,0,Passed
16745,46442663,5,46442663,5,0,Passed
16745,1126067,5,1126067,5,0,Passed
16745,26290204,1,26290204,1,0,Passed
16745,236534142,2,236534142,2,0,Passed
16745,53401566,5,53401566,5,0,Passed
16745,84854496,7,84854496,7,0,Passed
16745,463730,1,463730,1,0,Passed
16745,1142793,7,1142793,7,0,Passed
16745,1142792,6,1142792,6,0,Passed
16745,956687,8,956687,8,0,Passed
16745,7495771,1,7495771,1,0,Passed
16745,1142794,7,1142794,7,0,Passed
16745,236534149,2,236534149,2,0,Passed
16745,1577207,147,1577207,147,0,Passed
16745,16286902,1,16286902,1,0,Passed
16745,8670982,1,8670982,1,0,Passed
16745,173698593,568,173698593,568,0,Passed
16745,8746199,27,8746199,27,0,Passed
16745,9195644,1077,9195644,1077,0,Passed
16745,1143407,1,1143407,1,0,Passed
16745,16284950,2,16284950,2,0,Passed
16745,944685,58,944685,58,0,Passed
16745,298305148,1,298305148,1,0,Passed
16745,16269581,1,16269581,1,0,Passed
16745,1280327,26,1280327,26,0,Passed
16745,75695671,20,75695671,20,0,Passed
16745,6610074,65,6610074,65,0,Passed
16745,935736,2,935736,2,0,Passed
16745,11485496,2,11485496,2,0,Passed
16745,14938868,5,14938868,5,0,Passed
16745,52937635,5,52937635,5,0,Passed
16745,6623582,3,6623582,3,0,Passed
16745,14991,1,14991,1,0,Passed
16745,46407879,3,46407879,3,0,Passed
16745,27000827,1,27000827,1,0,Passed
16745,30036343,1,30036343,1,0,Passed
16745,8720817,4,8720817,4,0,Passed
16745,2801,943,2801,943,0,Passed
16745,1143420,2,1143420,2,0,Passed
16745,956666,67,956666,67,0,Passed
16745,8741768,3,8741768,3,0,Passed
16745,298318244,1,298318244,1,0,Passed
16745,1142579,2311,1142579,2311,0,Passed
16745,2806,8,2806,8,0,Passed
16745,2802,950,2802,950,0,Passed
16745,136222882,2,136222882,2,0,Passed
16745,920037,602,920037,602,0,Passed
16745,236446605,1,236446605,1,0,Passed
16745,14059277,1,14059277,1,0,Passed
16745,80599367,4,80599367,4,0,Passed
16745,26288396,1,26288396,1,0,Passed
16745,934665,2,934665,2,0,Passed
16745,956674,1064,956674,1064,0,Passed
16745,10334401,9,10334401,9,0,Passed
16745,7356630,1,7356630,1,0,Passed
16745,1142563,12,1142563,12,0,Passed
16745,7354213,25,7354213,25,0,Passed
16745,90194037,336,90194037,336,0,Passed
16745,16293686,2,16293686,2,0,Passed
16745,1751955,1,1751955,1,0,Passed
16745,16554275,3,16554275,3,0,Passed
16745,15262,2054,15262,2054,0,Passed
16745,15020,40,15020,40,0,Passed
16745,15260,937,15260,937,0,Passed
16745,1407801,1,1407801,1,0,Passed
16745,9200693,2444,9200693,2444,0,Passed
16745,16287351,2,16287351,2,0,Passed
16745,13307450,2,13307450,2,0,Passed
16745,28033983,4,28033983,4,0,Passed
16745,47900036,2,47900036,2,0,Passed
16745,9202879,36,9202879,36,0,Passed
16745,1143281,4,1143281,4,0,Passed
16745,97801484,5,97801484,5,0,Passed
16745,7506433,1,7506433,1,0,Passed
16745,8746799,7,8746799,7,0,Passed
16745,7326381,2,7326381,2,0,Passed
16745,14927500,1,14927500,1,0,Passed
16745,106467347,7,106467347,7,0,Passed
16745,6665171,1,6665171,1,0,Passed
16745,20535490,1,20535490,1,0,Passed
16745,151479399,3,151479399,3,0,Passed
16745,1657506,286,1657506,286,0,Passed
16745,47946266,2,47946266,2,0,Passed
16745,1342417,2,1342417,2,0,Passed
16745,16548618,1,16548618,1,0,Passed
16745,40045334,1,40045334,1,0,Passed
16745,7326393,1,7326393,1,0,Passed
16745,899493,1,899493,1,0,Passed
16745,7355968,5,7355968,5,0,Passed
16745,1407818,1,1407818,1,0,Passed
16745,15703626,20,15703626,20,0,Passed
16745,1272107,5,1272107,5,0,Passed
16745,298310377,2,298310377,2,0,Passed
16745,1131079,8,1131079,8,0,Passed
16745,1374499,3,1374499,3,0,Passed
16745,298309172,1,298309172,1,0,Passed
16745,1215550,2,1215550,2,0,Passed
16745,922002,4,922002,4,0,Passed
16745,14939081,264,14939081,264,0,Passed
16745,925997,3,925997,3,0,Passed
16745,43596115,2,43596115,2,0,Passed
16745,147578963,1,147578963,1,0,Passed
16745,25243021,2,25243021,2,0,Passed
16745,934233,326,934233,326,0,Passed
16745,16549957,12,16549957,12,0,Passed
16745,18562997,1,18562997,1,0,Passed
16745,15004,12,15004,12,0,Passed
16745,40045309,1,40045309,1,0,Passed
16745,16622633,3,16622633,3,0,Passed
16745,15256,7,15256,7,0,Passed
16745,26123278,1,26123278,1,0,Passed
16745,40044698,2,40044698,2,0,Passed
16745,9200683,18,9200683,18,0,Passed
16745,1264910,1,1264910,1,0,Passed
16745,8710394,1,8710394,1,0,Passed
16745,1060486,5,1060486,5,0,Passed
16745,203987833,1,203987833,1,0,Passed
16745,56779144,3,56779144,3,0,Passed
16745,10438501,3,10438501,3,0,Passed
16745,40752050,28,40752050,28,0,Passed
16745,7326373,7,7326373,7,0,Passed
16745,1269123,6,1269123,6,0,Passed
16745,46896179,1,46896179,1,0,Passed
16745,1131083,64,1131083,64,0,Passed
16745,7487248,16,7487248,16,0,Passed
16745,1004195,918,1004195,918,0,Passed
16745,7339439,20,7339439,20,0,Passed
16745,15019,3,15019,3,0,Passed
16745,1619045,4,1619045,4,0,Passed
16745,51131173,5,51131173,5,0,Passed
16745,8735216,699,8735216,699,0,Passed
16745,298309119,2,298309119,2,0,Passed
16745,448736,3,448736,3,0,Passed
16745,126734414,1,126734414,1,0,Passed
16745,2864,2,2864,2,0,Passed
16745,40775143,2,40775143,2,0,Passed
16745,2862,9,2862,9,0,Passed
16745,7339267,2,7339267,2,0,Passed
16745,2860,360,2860,360,0,Passed
16745,994303,21,994303,21,0,Passed
16745,30140747,1,30140747,1,0,Passed
16745,10428919,24,10428919,24,0,Passed
16745,1540390,2,1540390,2,0,Passed
16745,13308974,5,13308974,5,0,Passed
16745,1380729,1,1380729,1,0,Passed
16745,1323996,1,1323996,1,0,Passed
16745,6601764,4,6601764,4,0,Passed
16745,2881,4,2881,4,0,Passed
16745,314214478,8,314214478,8,0,Passed
16745,74427074,10,74427074,10,0,Passed
16745,1283679,4,1283679,4,0,Passed
16745,14942043,1,14942043,1,0,Passed
16745,45414128,3,45414128,3,0,Passed
16745,1029210,12,1029210,12,0,Passed
16745,55015388,26,55015388,26,0,Passed
16745,7493728,6,7493728,6,0,Passed
16745,13325066,3,13325066,3,0,Passed
16745,9779267,1223,9779267,1223,0,Passed
16745,7341324,18,7341324,18,0,Passed
16745,7493724,1,7493724,1,0,Passed
16745,7502293,69,7502293,69,0,Passed
16745,54247026,5,54247026,5,0,Passed
16745,7487057,4,7487057,4,0,Passed
16745,1004163,8,1004163,8,0,Passed
16745,30419790,1,30419790,1,0,Passed
16745,7413888,12,7413888,12,0,Passed
16745,46407802,9,46407802,9,0,Passed
