API_Url	Response time with 1 users (Seconds)	Status Code with 1 users	No of records per user	Data Transferred per User	Timestamp
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'VA2703-LED'&$top=10	2.91499996185	200	0	0.0001279296875MB	2017-06-14 18:35:47.684000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'C8970A%23201'&$top=10	2.72500014305	200	0	0.0001279296875MB	2017-06-14 18:35:50.410000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'FS116NA'&$top=10	2.82699990273	200	0	0.0001279296875MB	2017-06-14 18:35:53.238000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'WS-C3550-24-SMI'&$top=10	2.80200004578	200	0	0.0001279296875MB	2017-06-14 18:35:56.040000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$filter=MFRPARTNO eq 'C9V76AA'&$top=10	2.82500004768	200	0	0.0001279296875MB	2017-06-14 18:35:58.866000
http://vm195w/bdna-api/odata/CAT_SW_LIC_MFRPARTNO_LPRICE?$count=true&$expand=CAT_SW_LIC_RELEASE&$top=10	34.5209999084	200	10	0.02325390625MB	2017-06-14 18:36:33.389000
http://vm195w/bdna-api/odata/MATCH_HOST_OS?$count=true&$top=10	2.34399986267	200	10	0.00830078125MB	2017-06-14 18:36:35.734000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$top=10	2.57600021362	200	0	0.0001171875MB	2017-06-14 18:36:38.311000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$select=CAT_HW_MODEL_FDA_ID,CAT_HW_MODEL_ID,FDA_APPROVED_DATE,FDA_LEVEL&$expand=CAT_FDA&$top=10	2.75999999046	200	0	0.0001884765625MB	2017-06-14 18:36:41.072000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 12&$top=10	2.75099992752	200	0	0.0001171875MB	2017-06-14 18:36:49.434000
