Office,10019,3,10001,null,-1,1142672,-1,null,25607263,11396775,null,RC,0,0,1,79,null,0,26032554,Microsoft Office 2010,14.0.4757.1000,Microsoft Corporation,1,
Office,10020,0,10001,null,-1,1142672,-1,null,25261081,11396775,SP1,RTM,0,0,1,89,null,0,25261082,Microsoft Office,14.0.6118.3014,Microsoft Corporation,1,
Office,10021,3,10002,null,-1,1142672,-1,null,25607263,11396775,null,RC,0,0,0,79,null,0,26032554,Microsoft Office 2010,14.0.4757.1000,Microsoft Corporation,1,
Office,10022,0,10002,null,-1,1142672,-1,null,42422419,23271060,null,Technical Preview Refresh,0,0,1,98,null,0,42637079,Microsoft Office,15.0.4016.3001,Microsoft Corporation,1,
Office,10023,3,10003,null,-1,1142672,2751,Standard,9194331,11396775,null,RTM,0,0,1,81,12,0,13301889,Microsoft Office Standard 2010,14.0.4763.1000,Microsoft Corporation,1,
Office,10024,3,10003,null,-1,1142672,-1,null,25607263,11396775,null,RC,0,0,1,79,null,0,26032554,Microsoft Office 2010,14.0.4757.1000,Microsoft Corporation,1,
Office,10025,0,10003,-1,9194340,1142672,2793,Professional,9194331,11396775,null,RTM,0,0,1,81,19,0,9194340,Microsoft Office Professional 2010,14.0.4763.1000,Microsoft Corporation,1,
Office,10026,3,10004,null,-1,1142672,2751,Standard,9194331,11396775,null,RTM,0,0,1,81,12,0,13301889,Microsoft Office Standard 2010,14.0.4763.1000,Microsoft Corporation,1,
Office,10027,3,10004,null,-1,1142672,-1,null,25607263,11396775,null,RC,0,0,1,79,null,0,26032554,Microsoft Office 2010,14.0.4757.1000,Microsoft Corporation,1,
Office,10028,0,10004,-1,25637289,1142672,2751,Standard,25261081,11396775,SP1,RTM,0,0,1,89,12,0,25637289,Microsoft Office Standard 2010,14.0.6029.1000,Microsoft Corporation,1,
Office,10029,3,20001,null,-1,1142672,2751,Standard,9194331,11396775,null,RTM,0,0,1,81,12,0,13301889,Microsoft Office Standard 2010,14.0.4763.1000,Microsoft Corporation,1,
Office,10031,3,20001,null,-1,1142672,-1,null,25261081,11396775,SP1,RTM,0,0,1,89,null,0,25261082,Microsoft Office,14.0.6118.3014,Microsoft Corporation,1,
Office,10030,0,20001,-1,9194340,1142672,2793,Professional,9194331,11396775,null,RTM,0,0,1,81,19,0,9194340,Microsoft Office Professional 2010,14.0.4763.1000,Microsoft Corporation,1,
Office,10032,3,20002,null,-1,1142672,2751,Standard,9194331,11396775,null,RTM,0,0,1,81,12,0,13301889,Microsoft Office Standard 2010,14.0.4763.1000,Microsoft Corporation,1,
