Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:43:44,BDNA_PUBLISH,PERMANENT,25.68,24.51,1.18,95.41
2016-02-11 20:43:44,SYSAUX,PERMANENT,5.47,4.09,1.38,74.77
2016-02-11 20:43:44,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:43:44,UNDOTBS1,UNDO,6.1,.54,5.56,8.84
2016-02-11 20:43:44,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:44:44,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:44:44,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:44:44,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:45:27,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:45:27,BDNA_PUBLISH,PERMANENT,25.68,24.51,1.18,95.41
2016-02-11 20:45:27,SYSAUX,PERMANENT,5.47,4.09,1.38,74.84
2016-02-11 20:45:27,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:45:27,UNDOTBS1,UNDO,6.1,.54,5.56,8.84
2016-02-11 20:45:27,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:46:27,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:46:27,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:46:27,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:46:53,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:46:53,BDNA_PUBLISH,PERMANENT,25.68,24.51,1.17,95.44
2016-02-11 20:46:53,SYSAUX,PERMANENT,5.47,4.09,1.38,74.84
2016-02-11 20:46:53,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:46:53,UNDOTBS1,UNDO,6.1,.54,5.56,8.84
2016-02-11 20:46:53,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:47:53,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:47:53,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:47:53,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:48:19,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:48:19,BDNA_PUBLISH,PERMANENT,25.68,24.52,1.16,95.49
2016-02-11 20:48:19,SYSAUX,PERMANENT,5.47,4.09,1.38,74.84
2016-02-11 20:48:19,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:48:19,UNDOTBS1,UNDO,6.1,.54,5.56,8.84
2016-02-11 20:48:19,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:49:19,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:49:19,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:49:19,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:49:45,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:49:45,BDNA_PUBLISH,PERMANENT,25.68,24.53,1.16,95.5
2016-02-11 20:49:45,SYSAUX,PERMANENT,5.47,4.09,1.38,74.84
2016-02-11 20:49:45,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:49:45,UNDOTBS1,UNDO,6.1,.54,5.56,8.84
2016-02-11 20:49:45,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:50:45,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:50:45,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:50:45,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:51:12,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:51:12,BDNA_PUBLISH,PERMANENT,25.68,24.53,1.16,95.5
2016-02-11 20:51:12,SYSAUX,PERMANENT,5.47,4.09,1.38,74.84
2016-02-11 20:51:12,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:51:12,UNDOTBS1,UNDO,6.1,.54,5.56,8.84
2016-02-11 20:51:12,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:52:13,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.76,81.65
2016-02-11 20:52:13,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:52:13,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:52:58,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:52:58,BDNA_PUBLISH,PERMANENT,25.68,24.66,1.03,96.01
2016-02-11 20:52:58,SYSAUX,PERMANENT,5.47,4.09,1.38,74.85
2016-02-11 20:52:58,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:52:58,UNDOTBS1,UNDO,6.1,.56,5.54,9.15
2016-02-11 20:52:58,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:53:58,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,8.7,81.65
2016-02-11 20:53:58,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:53:58,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:54:26,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:54:26,BDNA_PUBLISH,PERMANENT,27,25.9,1.11,95.91
2016-02-11 20:54:26,SYSAUX,PERMANENT,5.47,4.1,1.37,74.9
2016-02-11 20:54:26,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:54:26,UNDOTBS1,UNDO,6.1,.55,5.55,9.04
2016-02-11 20:54:26,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
