Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:46:26,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:46:26,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:46:26,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:46:26,UNDOTBS1,UNDO,13.1,2.72,10.38,20.76
2016-02-17 20:46:26,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:47:26,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:47:26,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:47:26,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:47:45,BDNA,PERMANENT,8,6.07,1.93,75.82
2016-02-17 20:47:45,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:47:45,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:47:45,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:47:45,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:47:45,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:48:46,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:48:46,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:48:46,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:49:04,BDNA,PERMANENT,8,6.62,1.38,82.72
2016-02-17 20:49:04,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:49:04,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:49:04,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:49:04,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:49:04,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:50:07,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:50:07,BDNA_TMP,TEMPORARY,3.43,3.42,3.35,99.57
2016-02-17 20:50:07,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:50:20,BDNA,PERMANENT,8,7.24,.76,90.48
2016-02-17 20:50:20,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:50:20,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:50:20,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:50:20,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:50:20,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:51:21,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:51:21,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:51:21,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:51:32,BDNA,PERMANENT,8,7.5,.5,93.72
2016-02-17 20:51:32,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:51:32,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:51:32,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:51:32,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:51:32,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
